unique_id,model_name,requested_latitude,requested_longitude,resolved_latitude,resolved_longitude,elevation,start_date,end_date,raw_path
6142150,era5_seamless,48.6021,16.9354,48.600006,16.90001,149.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142150.json
6142200,era5_seamless,48.1396,17.1104,48.100006,17.100006,140.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142200.json
6142500,era5_seamless,48.05333,18.2125,48.100006,18.199997,120.0,1984-01-01,1988-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142500.json
6142520,era5_seamless,48.52458,18.17208,48.5,18.199997,163.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142520.json
6142551,era5_seamless,49.2975,18.78583,49.300003,18.800003,357.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142551.json
6142600,era5_seamless,48.0375,18.82,48.0,18.800003,119.0,1984-01-01,1992-10-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142600.json
6142601,era5_seamless,48.29792,19.74125,48.300003,19.699997,176.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142601.json
6142620,era5_seamless,48.16,17.88167,48.199997,17.90001,113.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142620.json
6142640,era5_seamless,49.07,18.91333,49.100006,18.90001,397.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142640.json
6142650,era5_seamless,48.72958,19.13792,48.699997,19.100006,344.0,1984-01-01,2008-10-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142650.json
6142660,era5_seamless,48.4075,18.6475,48.40001,18.600006,203.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142660.json
6142680,era5_seamless,49.08667,19.6025,49.100006,19.600006,569.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6142680.json
6144100,era5_seamless,48.30417,20.315,48.300003,20.300003,154.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144100.json
6144150,era5_seamless,48.59333,20.89333,48.600006,20.90001,174.0,1984-01-01,2023-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144150.json
6144200,era5_seamless,48.395,21.75,48.40001,21.800003,98.0,1984-01-01,2023-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144200.json
6144300,era5_seamless,48.60292,21.33958,48.600006,21.300003,175.0,1984-01-01,2023-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144300.json
6144350,era5_seamless,48.7325,21.33583,48.699997,21.300003,193.0,1984-01-01,2023-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144350.json
6144400,era5_seamless,49.03583,21.50833,49.0,21.5,195.0,1984-01-01,2008-10-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144400.json
6144490,era5_seamless,48.97417,21.975,49.0,22.0,170.0,1984-01-01,1988-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144490.json
6144500,era5_seamless,49.01667,22.04167,49.0,22.0,205.0,1984-01-01,1980-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6144500.json
6158100,era5_seamless,49.28917,20.73083,49.300003,20.699997,509.0,1984-01-01,2024-12-31,/Users/waelmikaeel/Library/CloudStorage/OneDrive-SlovenskátechnickáuniverzitavBratislave/Desktop/GreatCompre/forecast_benchmark/data/raw/reanalysis_open_meteo/era5_seamless/6158100.json
